Complaint_ID,Complaint_Text,Category
SWG177101,Wrong food delivered. The order doesn't match what I selected. Please ensure this doesn't happen again.,Incorrect Order
SWG245237,This has happened multiple times. App crashes when trying to apply coupon codes. Please ensure this doesn't happen again.,App Technical Issue
SWG437902,Delivery tracking shows wrong delivery executive details and location.,Tracking Issue
SWG970049,Please resolve this issue immediately. Delivery person went to wrong address and food got cold. Please improve your service quality.,Delivery Location Issue
SWG701969,This has happened multiple times. Delivery boy didn't wear mask and was very unprofessional in behavior.,Delivery Executive Issue
SWG237148,This ruined my entire meal experience. No response from restaurant despite multiple attempts to contact.,Non-Responsive Restaurant
SWG756608,This has happened multiple times. Technical issue with app login. Cannot access my account.,App Technical Issue
SWG161847,Restaurant not picking up calls for order clarification. Please ensure this doesn't happen again.,Non-Responsive Restaurant
SWG866658,Restaurant didn't follow special cooking instructions provided.,Restaurant Service Issue
SWG186709,I expect better service from Swiggy. Restaurant didn't follow special cooking instructions provided.,Restaurant Service Issue
SWG512040,Delivered food was cold and the packaging was not insulated properly. I hope this gets resolved soon.,Cold Food Delivery
SWG790266,I want a full refund for this. The delivery executive was late and blamed me for the delay.,Delivery Executive Issue
SWG259072,Food quality was very poor. Tasted stale and not fresh. Please improve your service quality.,Food Quality Issue
SWG593297,Restaurant didn't follow special cooking instructions provided. Please take necessary action.,Restaurant Service Issue
SWG966859,Please resolve this issue immediately. Delivery executive couldn't find my location despite clear instructions. This is really disappointing.,Delivery Location Issue
SWG456428,Delivery executive couldn't find my location despite clear instructions.,Delivery Location Issue
SWG145934,Cancelled my order after confirming it. Very disappointing experience. I am losing trust in Swiggy.,Order Cancellation
SWG706472,Please resolve this issue immediately. Extremely late delivery. Ordered lunch and received at dinner time.,Late Delivery
SWG144648,Please take immediate action. Valid coupon code showing as expired or invalid.,Coupon/Offer Issue
SWG960050,Location detection not working in the app. Shows wrong address.,App Technical Issue
SWG972128,I want a full refund for this. Extremely late delivery. Ordered lunch and received at dinner time. Please improve your service quality.,Late Delivery
SWG562976,Customer support is not responding to my complaint emails.,Professional Support Agent
SWG442752,This is very frustrating. Delivery address was incorrect in the system despite entering correctly.,Delivery Location Issue
SWG140983,Valid coupon code showing as expired or invalid.,Coupon/Offer Issue
SWG898134,Restaurant not picking up calls for order clarification. Please improve your service quality.,Non-Responsive Restaurant
SWG216276,Order was cancelled by restaurant after 45 minutes. No explanation given.,Order Cancellation
SWG347411,Incomplete order delivered. Missing main course items.,Missing Items
SWG792702,Money debited but order not placed. Payment gateway issue. This needs immediate attention.,Payment Issue
SWG858693,Coupon code expired suddenly while placing the order.,Coupon/Offer Issue
SWG867173,Support team is not resolving my complaint properly.,Professional Support Agent
SWG889056,Charged extra amount than the order total. Billing discrepancy. I want a proper explanation for this.,Payment Issue
SWG229054,Order delivered 2 hours late. Very disappointing service. I am losing trust in Swiggy.,Late Delivery
SWG566339,Delivered food was cold and the packaging was not insulated properly. I hope this gets resolved soon.,Cold Food Delivery
SWG242071,This ruined my entire meal experience. Food arrived cold despite paying delivery charges. Very unsatisfied. This is really disappointing.,Cold Food Delivery
SWG335861,Restaurant is not responding to calls regarding order modification.,Non-Responsive Restaurant
SWG409477,Inconsistent order updates. Can't rely on the status information. I want a proper explanation for this.,Inconsistent Order Status
SWG384660,Money debited but order not placed. Payment gateway issue. This is really disappointing.,Payment Issue
SWG346120,Payment got stuck and amount debited without order confirmation. This is really disappointing.,Payment Issue
SWG705693,Cancelled my order after confirming it. Very disappointing experience.,Order Cancellation
SWG250944,Poor food quality with bad taste and smell. Seems like old ingredients used. This is really disappointing.,Food Quality Issue
SWG807835,No response from restaurant despite multiple attempts to contact. Please take necessary action.,Non-Responsive Restaurant
SWG411919,Refund not processed even after 7 working days of cancellation. I am losing trust in Swiggy.,Refund Issue
SWG821403,Restaurant not picking up calls for order clarification. I hope this gets resolved soon.,Non-Responsive Restaurant
SWG932106,This ruined my entire meal experience. No response from restaurant staff when trying to discuss order issues.,Non-Responsive Restaurant
SWG415761,Customer support is not responding to my complaint emails.,Professional Support Agent
SWG820126,Extremely late delivery. Ordered lunch and received at dinner time.,Late Delivery
SWG329412,Customer support is not responding to my complaint emails.,Professional Support Agent
SWG792792,Money debited but order not placed. Payment gateway issue.,Payment Issue
SWG166761,App freezes every time I try to add items to cart. Please improve your service quality.,App Technical Issue
SWG304102,Restaurant service quality has declined significantly over time. Please take necessary action.,Restaurant Service Issue
SWG234163,I want a full refund for this. App freezes every time I try to add items to cart.,App Technical Issue
SWG486265,Ordered combo meal but received incomplete items.,Missing Items
SWG137827,Payment deducted twice for the same order. Need immediate refund.,Payment Issue
SWG370726,Location detection not working in the app. Shows wrong address.,App Technical Issue
SWG187984,Food packaging was not sealed properly and looked contaminated. Please take necessary action.,Unhygienic Packaging
SWG303721,Payment option not working properly during checkout process.,Payment Issue
SWG224775,Ordered family pack but some items are missing from the delivery. I want a proper explanation for this.,Missing Items
SWG563681,This is unacceptable. Missing items from order. This is the second time this happened. This is not what I expected from Swiggy.,Missing Items
SWG507759,Food quality was below average. Not worth the price paid. Please ensure this doesn't happen again.,Food Quality Issue
SWG515610,This is very frustrating. Cashback offer not credited after successful order completion.,Coupon/Offer Issue
SWG545092,Several items missing from my order without any notification.,Missing Items
SWG403419,Service from restaurant was below expectations. Need improvement.,Restaurant Service Issue
SWG952829,Cancelled order but refund is taking too much time to process.,Refund Issue
SWG290065,This ruined my entire meal experience. Payment option not working properly during checkout process. Please ensure this doesn't happen again.,Payment Issue
SWG271790,Food temperature was very low. Seems like prepared much earlier.,Cold Food Delivery
SWG975972,Refund status shows completed but amount not reflected in account.,Refund Issue
SWG185782,Restaurant is not responding to calls regarding order modification. Please ensure this doesn't happen again.,Non-Responsive Restaurant
SWG382795,Incorrect order received. Ordered pizza but got burger instead. This is really disappointing.,Incorrect Order
SWG453698,Location issue during delivery. Executive was completely lost.,Delivery Location Issue
SWG877079,Promotional offer not applied even after fulfilling all conditions. I want a proper explanation for this.,Coupon/Offer Issue
SWG856148,I am extremely disappointed. Restaurant staff was uncooperative and didn't handle requests properly.,Restaurant Service Issue
SWG783618,This has happened multiple times. Restaurant didn't follow special cooking instructions provided.,Restaurant Service Issue
SWG672896,The food was cold when delivered. Seems like it was prepared hours ago.,Cold Food Delivery
SWG189870,I am extremely disappointed. Restaurant doesn't answer calls even for urgent order modifications. This is really disappointing.,Non-Responsive Restaurant
SWG486395,Provided clear address but delivery was attempted at wrong location. This needs immediate attention.,Delivery Location Issue
SWG813612,Very poor service quality. Tried calling restaurant for special instructions but they don't respond.,Non-Responsive Restaurant
SWG991286,Coupon code expired suddenly while placing the order.,Coupon/Offer Issue
SWG364583,Payment got stuck and amount debited without order confirmation. Please help resolve this matter urgently.,Payment Issue
SWG802818,Food packaging was completely damaged and looked unsafe to eat. This needs immediate attention.,Unhygienic Packaging
SWG831259,Poor food quality with bad taste and smell. Seems like old ingredients used. This needs immediate attention.,Food Quality Issue
SWG285660,Quality of food was disappointing. Items were not fresh at all.,Food Quality Issue
SWG187963,Payment failed but amount was deducted from my account.,Payment Issue
SWG527481,Poor food quality with bad taste and smell. Seems like old ingredients used.,Food Quality Issue
SWG707993,This ruined my entire meal experience. Support team keeps giving generic responses without solving the issue. This needs immediate attention.,Professional Support Agent
SWG658922,Poor food quality with bad taste and smell. Seems like old ingredients used.,Food Quality Issue
SWG493580,Received cold food after 2 hours delay. Pizza was like cardboard.,Cold Food Delivery
SWG133782,Restaurant cancelled order citing unavailability after accepting it.,Order Cancellation
SWG884972,Refund amount is less than what was originally paid.,Refund Issue
SWG222343,This is very frustrating. Unable to track my order. The app shows no information about delivery status. I want a proper explanation for this.,Tracking Issue
SWG243790,Cold food delivery. The curry was completely cold and oil separated.,Cold Food Delivery
SWG297731,The delivery executive was late and blamed me for the delay.,Delivery Executive Issue
SWG133276,Order was cancelled by restaurant after 45 minutes. No explanation given.,Order Cancellation
SWG952487,Payment got stuck and amount debited without order confirmation. I am losing trust in Swiggy.,Payment Issue
SWG378548,Location services not working properly leading to delivery problems. I want a proper explanation for this.,Delivery Location Issue
SWG444589,App interface is buggy and not responding to touch inputs.,App Technical Issue
SWG700896,Received food in damaged packaging. Very unhygienic condition.,Unhygienic Packaging
SWG896387,Please take immediate action. Ordered family pack but some items are missing from the delivery. Please take necessary action.,Missing Items
SWG168492,Very late delivery without any notification or apology.,Late Delivery
SWG614954,Refund amount is less than what was originally paid. This needs immediate attention.,Refund Issue
SWG619373,Received cold food after 2 hours delay. Pizza was like cardboard. Please take necessary action.,Cold Food Delivery
SWG661498,Restaurant service is very slow and unprofessional.,Restaurant Service Issue
SWG193351,Valid coupon code showing as expired or invalid. This is not what I expected from Swiggy.,Coupon/Offer Issue
SWG396668,Received food in damaged packaging. Very unhygienic condition.,Unhygienic Packaging
SWG113083,This is unacceptable. Food delivered way past the estimated time. Lost appetite by then.,Late Delivery
SWG864366,I want a full refund for this. Payment option not working properly during checkout process. This is really disappointing.,Payment Issue
SWG596520,Cancelled my order after confirming it. Very disappointing experience. This needs immediate attention.,Order Cancellation
SWG693595,Tried calling restaurant for special instructions but they don't respond.,Non-Responsive Restaurant
SWG855944,Order was cancelled by restaurant after 45 minutes. No explanation given. Please improve your service quality.,Order Cancellation
SWG232250,Food delivered 3 hours after estimated time. Completely unacceptable. Please improve your service quality.,Late Delivery
SWG660118,Payment deducted twice for the same order. Need immediate refund.,Payment Issue
SWG440277,This has happened multiple times. Delivery boy was very rude and unprofessional during delivery.,Delivery Executive Issue
SWG355506,Very poor service quality. Order status keeps changing randomly. Very confusing updates. Please take necessary action.,Inconsistent Order Status
SWG529838,Please take immediate action. Customer support is not responding to my complaint emails.,Professional Support Agent
